21.968000	,8.079921	,-3.398418	,0.139213
22.064000	,8.075767	,-3.396457	,0.139314
22.184000	,8.070325	,-3.393906	,0.139304
22.272000	,8.066420	,-3.392087	,0.139229
22.363000	,8.061292	,-3.389677	,0.139073
22.483000	,8.054899	,-3.386684	,0.138832
22.571000	,8.050600	,-3.384667	,0.138665
22.663000	,8.045300	,-3.382181	,0.138481
22.783000	,8.039196	,-3.379315	,0.138342
22.874000	,8.035336	,-3.377499	,0.138316
23.000000	,8.028991	,-3.374518	,0.138404
23.087000	,8.025563	,-3.372892	,0.138515
23.174000	,8.022223	,-3.371296	,0.138649
23.300000	,8.016419	,-3.368531	,0.138876
